,modern,original
15539,"My lord, I have thought over the request you just made of me.","My lord, I have considered in my mind The late request that you did sound me in."
15540,"Well, it doesn’t matter anymore.","Well, let that rest."
15541,Dorset has fled to the earl of Richmond.,Dorset is fled to Richmond.
15542,"I heard the news, my lord.","I hear the news, my lord."
15543,"Stanley, Richmond is your wife’s son.","Stanley, he is your wife’s son."
15544,Get information from her.,"Well, look unto it."
15545,"My lord, I’d want to have the gift you promised me on your honor: the earldom of Hereford and all the possessions that go with it.","My lord, I claim the gift, my due by promise, For which your honor and your faith is pawned— Th' earldom of Hereford and the movables Which you promisèd I shall possess."
15546,"Stanley, pay attention to your wife’s doings.","Stanley, look to your wife."
15547,"If she sends any letters to Richmond, you will be accountable to me for it.","If she convey Letters to Richmond, you shall answer it."
15548,"What do you say, your Highness, about my just request?",What says your Highness to my just request?
15549,"As I remember, Henry the Sixth prophesied that Richmond would be king when Richmond was only a foolish little boy.","I do remember me, Henry the Sixth Did prophesy that Richmond should be king, When Richmond was a little peevish boy."
15550,"A king, perhaps— My lord— How is it that the prophet didn’t tell me at the time that I would kill him?","A king, perhaps— My lord— How chance the prophet could not at that time Have told me, I being by, that I should kill him?"
15551,"My lord, your promise of the earldom— Richmond!","My lord, your promise for the earldom— Richmond!"
15552,"The last time I was in Exeter, the mayor kindly showed me the castle there and called it “ My lord!","When last I was at Exeter, The mayor in courtesy showed me the castle And called it Rougemont, at which name I started, Because a bard of Ireland told me once I should not live long after I saw Richmond."
15553,"Yes, what time is it?","My Lord— Ay, what’s o'clock?"
15554,I’m reminding your grace what you promised me.,I am thus bold to put your Grace in mind Of what you promised me.
15555,"Well, but what time is it?","Well, but what’s o'clock?"
15556,It’s almost ten o'clock.,Upon the stroke of ten.
15557,"Well, let it strike ten then.","Well, let it strike."
15558,Why “let it strike”?,Why let it strike?
15559,Because you’re like the lowborn fellow who strikes the bell—you keep interrupting my thoughts.,"Because that, like a jack, thou keep’st the stroke Betwixt thy begging and my meditation."
15560,I am not in the giving mood today.,I am not in the giving vein today.
15561,You’re bothering me.,"Why then, resolve me whether you will or no."
15562,I’m not in the mood.,Thou troublest me; I am not in the vein.
15563,Is this really happening?,And is it thus?
15564,Does he reward my dedicated service with such deep contempt?,Repays he my deep service With such deep contempt?
15565,Did I work to make him king for this?,Made I him king for this?
15566,"Oh, let me remember what happened to Hastings and hurry to","O, let me think on Hastings and be gone To Brecknock, while my fearful head is on!"
15567,It was the most ruthless massacre this country has ever been guilty of.,"The tyrannous and bloody act is done, The most arch deed of piteous massacre That ever yet this land was guilty of."
15568,"Dighton and Forrest, whom I hired to perform the butchery, are used to killing people, the bloody dogs.","Dighton and Forrest, whom I did suborn To do this piece of ruthless butchery, Albeit they were fleshed villains, bloody dogs, Melted with tenderness and mild compassion, Wept like two children in their deaths' sad story."
15569,"Their lips, like four red roses on a stalk, touched.","Their lips were four red roses on a stalk, And in their summer beauty kissed each other."
15570,"Kind Tyrrel, will your news make me happy?","Kind Tyrrel, am I happy in thy news?"
15571,"If my doing what you told me to makes you happy, then be happy, because I did it.","If to have done the thing you gave in charge Beget your happiness, be happy then, For it is done."
15572,But did you see them dead?,But did’st thou see them dead?
15573,"I did, my lord.","I did, my lord."
15574,"And buried, noble Tyrrel?","And buried, gentle Tyrrel?"
15575,"The Tower’s chaplain has buried them, but to tell you the truth, I don’t know where.","The chaplain of the Tower hath buried them, But where, to say the truth, I do not know."
15576,"Tyrrel, come back shortly after dinner and tell me the details of their deaths.","Come to me, Tyrrel, soon at after-supper, When thou shalt tell the process of their death."
15577,"In the meantime, think about how I can do you good and give you what you want.","Meantime, but think how I may do thee good, And be inheritor of thy desire."
15578,See you soon.,Farewell till then.
15579,I humbly say goodbye.,I humbly take my leave.
15580,"Edward’s sons have been carried off by the angels and Anne, my wife, has bid good night to the world.","The son of Clarence have I pent up close, His daughter meanly have I matched in marriage, The sons of Edward sleep in Abraham’s bosom, And Anne my wife hath bid this world goodnight."
15581,"Now I go, a jolly, thriving wooer, to marry my brother Edward’s young daughter, Elizabeth, because I know Richmond has his eye on her.","Now, for I know the Breton Richmond aims At young Elizabeth, my brother’s daughter, And by that knot looks proudly on the crown, To her go I, a jolly thriving wooer."
15582,My lord!,My lord!
15583,Is the news good or bad that you enter without knocking?,"Good or bad news, that thou com’st in so bluntly?"
15584,"Bad news, my lord.","Bad news, my lord."
15585,"The Bishop of Ely has fled to Richmond, and Buckingham, backed by a hardy Welsh army, is on the march.","Morton is fled to Richmond, And Buckingham, backed with the hardy Welshmen, Is in the field, and still his power increaseth."
15586,Ely joining Richmond troubles me more than Buckingham and his quickly assembled army.,Ely with Richmond troubles me more near Than Buckingham and his rash-levied strength.
15587,Let’s say I didn’t kill them.,Say that I slew them not.
15588,Then you might as well say they’re not dead.,Then say they were not slain.
15589,"But they are dead, and you killed them, you slave of the devil.","But dead they are, and devilish slave, by thee."
15590,I did not kill your husband.,I did not kill your husband.
15591,"Well, then he must be alive.","Why then, he is alive."
15592,You’re lying.,In thy foul throat thou liest.
15593,Queen Margaret saw your sword steaming with his blood.,"Queen Margaret saw Thy murd'rous falchion smoking in his blood, The which thou once didst bend against her breast, But that thy brothers beat aside the point."
15594,"She provoked me with her lying mouth, accusing me of crimes I didn’t commit.","I was provokèd by her sland'rous tongue, That laid their guilt upon my guiltless shoulders."
15595,"No, what provoked you was your own bloody mind, which never thinks about anything but butchering.","Thou wast provokèd by thy bloody mind, That never dream’st on aught but butcheries."
15596,"You killed this king, didn’t you?",Didst thou not kill this king?
15597,"Yes, I’ll grant you that.",I grant you.
15598,"You’ll grant me, you hedgehog?","Dost grant me, hedgehog?"
15599,Then let God grant me that you’ll be damned for that wicked deed.,"Then, God grant me too Thou mayst be damnèd for that wicked deed."
15600,"Oh, he was gentle, mild, and virtuous.","O, he was gentle, mild, and virtuous."
15601,"That will please God, who has him now.",The better for the King of heaven that hath him.
15602,"He is in heaven, where you will never go.","He is in heaven, where thou shalt never come."
15603,"Let him thank me, who helped him get there.","Let him thank me, that holp to send him thither, For he was fitter for that place than earth."
15604,I’ve lurked in the shadows here to watch the downfall of my enemies.,Here in these confines slyly have I lurked To watch the waning of mine enemies.
15605,I’ll head to France soon.,"A dire induction am I witness to, And will to France, hoping the consequence Will prove as bitter, black, and tragical."
15606,"It’s time to hide, wretched Margaret.","Withdraw thee, wretched Margaret."
15607,Who’s coming?,Who comes here?
15608,"Ah, my poor princes!","Ah, my poor princes!"
15609,"If your gentle souls are still flying in the air and have not yet landed where they will remain forever, hover around me with your airy wings and hear your mother’s lament.","Ah, my tender babes, My unblown flowers, new-appearing sweets, If yet your gentle souls fly in the air And be not fixed in doom perpetual, Hover about me with your airy wings And hear your mother’s lamentation."
15610,"Hover about her and tell her she got what she deserved, with her children dead before their time.",Hover about her; say that right for right Hath dimmed your infant morn to agèd night.
15611,I’ve been crazed with so many miseries that my tongue has tired of lamenting and gone mute.,So many miseries have crazed my voice That my woe-wearied tongue is still and mute.
15612,"Edward Plantagenet, why are you dead?","Edward Plantagenet, why art thou dead?"
15613,"Will you abandon such gentle lambs, God, and throw them to the wolves?","Wilt thou, O God, fly from such gentle lambs And throw them in the entrails of the wolf?"
15614,Have you ever slept before while such a terrible deed was done?,When didst thou sleep when such a deed was done?
15615,Let my sorrow have the upper hand.,"Give mine the benefit of seigniory, And let my griefs frown on the upper hand."
15616,"You had a Clarence, too, and Richard killed him.","I had a Richard too, and thou did’st kill him; I had a Rutland too; thou holp’st to kill him."
15617,"Oh righteous God, how can I thank you enough that this meat-eating mutt preys on his mother’s children and forces her to join others in their grief!","O upright, just, and true-disposing God, How do I thank thee that this carnal cur Preys on the issue of his mother’s body And makes her pew-fellow with others' moan!"
15618,"O Harry’s wife, do not triumph in my sorrow!","O Harry’s wife, triumph not in my woes!"
15619,"With God as my witness, I swear I have wept for yours.","God witness with me, I have wept for thine."
15620,"Your son Edward, who stabbed my son Edward, is dead.","Thy Edward he is dead, that killed my Edward, Thy other Edward dead, to quit my Edward; Young York, he is but boot, because both they Matched not the high perfection of my loss."
15621,"Your Clarence, who stabbed my Edward, is also dead.","Thy Clarence he is dead that stabbed my Edward, And the beholders of this frantic play, Th' adulterate Hastings, Rivers, Vaughan, Grey, Untimely smothered in their dusky graves."
15622,"Richard, a fiendish spy for hell itself, still lives, but only long enough to buy souls to send below.","Richard yet lives, hell’s black intelligencer, Only reserved their factor to buy souls And send them thither."
15623,"I pray that God ends his life before I die, so I can say, “The dog is dead!”","Cancel his bond of life, dear God I pray, That I may live to say, “The dog is dead.”"
15624,"Oh, you prophesied that the time would come when I would want your help in cursing that humpbacked spider, that hideous toad!","O, thou didst prophesy the time would come That I should wish for thee to help me curse That bottled spider, that foul bunch-backed toad!"
15625,"Back then, I called you “a poor, imitation queen,” a badly reproduced copy of what I was, a pretty prologue for the tragedy that was about to follow, a woman who was lifted high only to be hurled down to hell, a mother only teased with two beautiful children, who would soon die.","I called thee then “vain flourish of my fortune.” I called thee then poor shadow, “painted queen,” The presentation of but what I was, The flattering index of a direful pageant, One heaved a-high, to be hurled down below, A mother only mocked with two fair babes, A dream of what thou wast, a garish flag To be the aim of every dangerous shot, A sign of dignity, a breath, a bubble, A queen in jest, only to fill the scene."
15626,"And I was right, because where’s your husband now?",Where is thy husband now?
15627,Your brothers?,Where be thy brothers?
15628,Your two sons?,Where are thy two sons?
15629,"Now you have only the memory of what you were, which tortures you when you consider what you’ve become.","Thus hath the course of justice whirled about And left thee but a very prey to time, Having no more but thought of what thou wast To torture thee the more, being what thou art."
15630,You once stole my position; now you get to have the grief that goes with it.,"Thou didst usurp my place, and dost thou not Usurp the just proportion of my sorrow?"
15631,Your English sorrows will make me smile in France.,These English woes will make me smile in France.
15632,"You who are so skilled in cursing, stay awhile and teach me how to curse my enemies.","O, thou well-skilled in curses, stay awhile, And teach me how to curse mine enemies."
15633,"Remember your children as being sweeter than they actually were, and think of the man who killed them as worse than he is.","Forbear to sleep the nights, and fast the days; Compare dead happiness with living woe; Think that thy babes were sweeter than they were, And he that slew them fouler than he is."
15634,Making your loss greater makes the person who caused it worse.,Bettering thy loss makes the bad causer worse.
15635,"Think like this all day, and you’ll learn how to curse.",Revolving this will teach thee how to curse.
15636,My words are dull.,My words are dull.
15637,Enliven them with yours!,"O, quicken them with thine!"
15638,Your misery will make them sharp and piercing like mine.,Thy woes will make them sharp and pierce like mine.
15639,But give words a chance.,Why should calamity be full of words?
15640,"If that’s true, then don’t be tongue-tied.","If so, then be not tongue-tied."
15641,"Come with me, and let’s smother my fiendish son—who smothered your two sweet sons—in bitter words.","Go with me, And in the breath of bitter words let’s smother My damnèd son that thy two sweet sons smothered."
15642,Who’s blocking the way?,Who intercepts my expedition?
15643,The woman who might have blocked you from all the murders you’ve committed by strangling you in her cursed womb.,"O, she that might have intercepted thee, By strangling thee in her accursèd womb, From all the slaughters, wretch, that thou hast done."
15644,"Are you hiding your forehead with a golden crown, when, if there was any justice in this world, it should be branded with the murders you committed—your slaughter of the prince who held that crown, and of my sons and my brothers?","Hid’st thou that forehead with a golden crown Where should be branded, if that right were right, The slaughter of the prince that owed that crown And the dire death of my poor sons and brothers?"
15645,"Tell me, you villainous lowlife, where are my children?","Tell me, thou villain-slave, where are my children?"
15646,"Where are the noble Hastings, Rivers, Vaughan, Grey?","Where is gentle Rivers, Vaughan, Grey?"
15647,Where is kind Hastings?,Where is kind Hastings?
15648,"Play, trumpets!","Strike alarum, drums!"
15649,Don’t let the heavens hear these chattery women abuse the Lord’s anointed king.,Let not the heavens hear these telltale women Rail on the Lord’s anointed.
15650,"Play, I say!","Strike, I say!"
15651,Either be calm and polite or I’ll drown you out with the music of war.,"Either be patient and entreat me fair, Or with the clamorous report of war Thus will I drown your exclamations."
15652,Are you my son?,Art thou my son?
15653,"Yes, I thank God, my father, and yourself.","Ay, I thank God, my father, and yourself."
15654,Then patiently listen to my impatience.,Then patiently hear my impatience.
15655,"Madam, I’m a bit like you in that I can’t tolerate a tone of disapproval.","Madam, I have a touch of your condition, Which cannot brook the accent of reproof."
15656,"Oh, let me speak!","O, let me speak!"
15657,"Go ahead, but I won’t listen.","Do then, but I’ll not hear."
15658,I’ll be gentle and mild.,I will be mild and gentle in my words.
15659,"And brief, good mother—I’m in a hurry.","And brief, good mother, for I am in haste."
15660,Are you that impatient?,Art thou so hasty?
15661,"God knows I waited for you in anguish, pain, and agony when I gave birth to you.","I have stayed for thee, God knows, in torment and in agony."
15662,And didn’t I finally arrive to comfort you?,And came I not at last to comfort you?
15663,"So, what hour of comfort have I ever had in your company?","What comfortable hour canst thou name, That ever graced me in thy company?"
15664,Name one.,"Faith, none but Humfrey Hower, that called your Grace To breakfast once, forth of my company."
15665,You’re too bitter.,"I prithee, hear me speak."
15666,Just listen this once.,You speak too bitterly.
15667,I’ll never speak to you again.,"Hear me a word, For I shall never speak to thee again."
15668,So be it.,So.
15669,"Though I have far more reason, I don’t have as much energy to curse you.","Though far more cause, yet much less spirit to curse Abides in me."
15670,But I say amen to everything she said.,I say amen to her.
15671,"Wait, madam.","Stay, madam."
15672,I need to speak a word with you.,I must talk a word with you.
15673,I have no more royal sons for you to murder.,I have no more sons of the royal blood For thee to slaughter.
15674,"You have a daughter named Elizabeth, who is virtuous and beautiful, aristocratic and full of grace.","You have a daughter called Elizabeth, Virtuous and fair, royal and gracious."
15675,And does she have to die for this?,And must she die for this?
15676,"Oh, let her live, and I’ll ruin her manners and her beauty.","O, let her live, And I’ll corrupt her manners, stain her beauty, Slander myself as false to Edward’s bed, Throw over her the veil of infamy."
15677,"So that she may live, I’ll say I cheated on Edward and that she is not really his child.","So she may live unscarred of bleeding slaughter, I will confess she was not Edward’s daughter."
15678,Don’t wrong her birth.,Wrong not her birth.
15679,She has royal blood.,She is a royal princess.
15680,"To save her life, I’ll say she doesn’t.","To save her life, I’ll say she is not so."
15681,"Yes, as safe as her brothers' lives were.",And only in that safety died her brothers.
15682,Bad friends were.,"No, to their lives ill friends were contrary."
15683,My children would have enjoyed a better death if God had blessed you with a purer life.,My babes were destined to a fairer death If grace had blessed thee with a fairer life.
15684,"Whichever hand literally stabbed their tender hearts, you’re the one who gave the order.","Whose hand soever launched their tender hearts, Thy head, all indirectly, gave direction."
15685,No doubt the murderous knife was blunt till it was sharpened on your stony heart—you reveled in my lambs' bloody guts.,"No doubt the murd'rous knife was dull and blunt Till it was whetted on thy stone-hard heart, To revel in the entrails of my lambs."
15686,"But constant expression of wild grief will only make it tame, so I’m not going to say any more about my boys until I’ve gouged your eyes out with my bare hands.","But that still use of grief makes wild grief tame, My tongue should to thy ears not name my boys Till that my nails were anchored in thine eyes, And I, in such a desp'rate bay of death, Like a poor bark of sails and tackling reft, Rush all to pieces on thy rocky bosom."
15687,"Madam, if I do as well as I think I’m going to do in these dangerous, violent wars, you and your relatives will have more good at my hands than you’ve ever had bad!","Madam, so thrive I in my enterprise And dangerous success of bloody wars As I intend more good to you and yours Than ever you or yours were by me harmed!"
15688,What good does heaven have in store that can do me any good now?,"What good is covered with the face of heaven, To be discovered, that can do me good?"
15689,"The advancement of your children, noble lady.","The advancement of your children, gentle lady."
15690,"Advancement to some scaffold, to lose their heads.","Up to some scaffold, there to lose their heads."
15691,"No, advancement to the dignity and height of honor, to a high, imperial kind of glory.","Unto the dignity and height of fortune, The high imperial type of this earth’s glory."
15692,And you’re not suited for any place except hell.,And thou unfit for any place but hell.
15693,"Yes, and one other place, if you’ll only let me name it.","Yes, one place else, if you will hear me name it."
15694,Some dungeon.,Some dungeon.
15695,Your bedroom.,Your bedchamber.
15696,There is no rest to be had in any bedroom where you are!,Ill rest betide the chamber where thou liest!
15697,"Exactly, madam, until I sleep with you.","So will it, madam till I lie with you."
15698,"Well, explain—but do it fast so that your puny store of kindness isn’t used up by talking about it.","Be brief, lest that the process of thy kindness Last longer telling than thy kindness' date."
15699,Then know that from my soul I love your daughter.,Then know that from my soul I love thy daughter.
15700,I believe it.,My daughter’s mother thinks it with her soul.
15701,What do you believe?,What do you think?
15702,That you love my daughter to spite your soul.,That thou dost love my daughter from thy soul.
15703,Don’t be so quick to twist my meaning.,Be not so hasty to confound my meaning.
15704,"The one who makes her queen, of course.",Even he that makes her queen.
15705,Who else should it be?,Who else should be?
15706,"What, you?","What, thou?"
15707,"What do you think, madam?",How think you of it?
15708,How would you woo her?,How canst thou woo her?
15709,"And  Madam, with all my heart.","Madam, with all my heart."
15710,"Come, come, you’re making fun of me.","You mock me, madam."
15711,This is not the way to win your daughter.,This is not the way To win your daughter.
15712,"There isn’t any other way, unless you took on another form and became someone else.","There is no other way, Unless thou couldst put on some other shape And not be Richard, that hath done all this."
15713,But suppose I did all the things you named out of love for her.,Say that I did all this for love of her.
15714,"Then she has no choice but to hate you, as you purchased her love with murder.","Nay, then indeed she cannot choose but hate thee, Having bought love with such a bloody spoil."
15715,Whatever has already been done can’t be undone now.,Look what is done cannot be now amended.
15716,"Men act imprudently sometimes, then realize their mistakes when they have time to think about them.","Men shall deal unadvisedly sometimes, Which after-hours give leisure to repent."
15717,"If I took the kingdom from your sons, I’ll give it to your daughter to make up for it.","If I did take the kingdom from your sons, To make amends I’ll give it to your daughter."
15718,"If I have killed your children, I will have children with your daughter.","If I have killed the issue of your womb, To quicken your increase I will beget Mine issue of your blood upon your daughter."
15719,A grandmother is loved hardly less than a mother is.,A grandam’s name is little less in love Than is the doting title of a mother.
15720,"Your children caused you trouble in your youth, but mine will bring you comfort in your old age.","Your children were vexation to your youth, But mine shall be a comfort to your age."
15721,"I can’t make up for everything that I’d like to, so accept such kindness as I can offer.",I cannot make you what amends I would; Therefore accept such kindness as I can.
15722,"Indeed, we have many good days to look forward to!","What, we have many goodly days to see!"
15723,"Go, then, mother, to your daughter.","Go then, my mother; to thy daughter go."
15724,What should I say to her?,What were I best to say?
15725,That her father’s brother wants to be her husband?,Her father’s brother Would be her lord?
15726,Or should I say it’s her uncle?,Or shall I say her uncle?
15727,Or should I describe you as the one who killed her brothers and her uncles?,Or he that slew her brothers and her uncles?
15728,"How can I describe you that will make you appeal to the young woman and will also agree with God, the law, my honor, and her feelings?","Under what title shall I woo for thee, That God, the law, my honor and her love Can make seem pleasing to her tender years?"
15729,Claim fair England’s peace depends on this alliance.,Infer fair England’s peace by this alliance.
15730,She will purchase that peace with an everlasting war.,Which she shall purchase with still-lasting war.
15731,"Tell her that the king, who has the power to command people, asks her.","Tell her the king, that may command, entreats— That, at her hands, which the king’s King forbids."
15732,He asks her to do what God  Say she will be a high and mighty queen.,Say she shall be a high and mighty queen.
15733,"Only to watch that title become worthless, as her mother has.","To vail the title, as her mother doth."
15734,Say I will love her everlastingly.,Say I will love her everlastingly.
15735,But how long will “ever” last?,But how long shall that title “ever” last?
15736,Until her beautiful life’s end.,Sweetly in force unto her fair life’s end.
15737,But how long will her beautiful life last?,But how long fairly shall her sweet life last?
15738,As long as heaven and nature extend it.,As long as heaven and nature lengthens it.
15739,As long as hell and Richard want it.,As long as hell and Richard likes of it.
15740,"Tell her that I, her king, am her lowly subject.","Say I, her sovereign, am her subject low."
15741,"But she, your subject, hates such a king.","But she, your subject, loathes such sovereignty."
15742,Be eloquent on my behalf.,Be eloquent in my behalf to her.
15743,An honest tale succeeds best when it is told simply.,An honest tale speeds best being plainly told.
15744,Then tell her my loving story in simple terms.,Then plainly to her tell my loving tale.
15745,You can’t tell a story simply when it’s a lie.,Plain and not honest is too harsh a style.
15746,Your answers are too shallow and too hasty.,Your reasons are too shallow and too quick.
15747,"Oh no, my reasons are deep and as permanent as death.","O no, my reasons are too deep and dead— Too deep and dead, poor infants, in their graves."
15748,"Don’t harp on that point, madam—it’s past.","Harp not on that string, madam; that is past."
15749,I will harp on it till my heartstrings break.,Harp on it still shall I till heart-strings break.
15750,"Now, by St. George, my knighthood, and my crown— The first you profaned, the second you dishonored, and the third you stole.","Now by my George, my Garter, and my crown— Profaned, dishonored, and the third usurped."
15751,"I swear— By nothing, because this is no oath.","I swear—      By nothing, for this is no oath."
15752,"St. George loses his holiness once  Then, by myself— You’ve misused yourself.","Then, by myself—      Thyself is self-misused."
15753,"Now, by the world— It’s full of your ugly wrongdoings.","Now, by the world—      'Tis full of thy foul wrongs."
15754,By my father’s death— Your life has dishonored his death.,My father’s death—      Thy life hath it dishonored.
15755,"If you had been afraid to break an oath with him, the crown you are currently wearing would have graced the head of my child, and both princes would still be alive, not preyed on by worms.","If thou hadst feared to break an oath by Him, Th' imperial metal circling now thy head Had graced the tender temples of my child, And both the princes had been breathing here, Which now, two tender bedfellows for dust, Thy broken faith hath made the prey for worms."
15756,What can you swear by now?,What canst thou swear by now?
15757,By the future.,The time to come.
15758,There are parents living whose children you have butchered; they are now old withered plants who will moan over their losses as they grow old.,"The children live whose fathers thou hast slaughtered, Ungoverned youth, to wail it in their age; The parents live whose children thou hast butchered, Old barren plants, to wail it with their age."
15759,"Don’t swear by the future, because you’ve ruined it before it has even arrived.","Swear not by time to come, for that thou hast Misused ere used, by times ill-used o'erpast."
15760,May I only do well in these dangerous battles if my intention to repent and prosper is sincere!,"As I intend to prosper and repent, So thrive I in my dangerous affairs Of hostile arms!"
15761,"Let me destroy myself, let heaven and destiny deprive me of happy hours, let day remain dark and night sleepless, and let me have nothing but terrible luck if I do not love with a pure heart, clean devotion, and holy thoughts your beautiful royal daughter.","Myself myself confound, Heaven and fortune bar me happy hours, Day, yield me not thy light, nor night thy rest, Be opposite all planets of good luck To my proceedings if, with dear heart’s love, Immaculate devotion, holy thoughts, I tender not thy beauteous princely daughter."
15762,My happiness and yours lie in her.,In her consists my happiness and thine.
15763,It,"Urge the necessity and state of times, And be not peevish found in great designs."
15764,Shall I be tempted by the devil?,Shall I be tempted of the devil thus?
15765,"Yes, if the devil tempts you to do good.","Ay, if the devil tempt you to do good."
15766,"Yes, if your memories do you no good.","Ay, if your self’s remembrance wrong yourself."
15767,Yet you killed my children.,Yet thou didst kill my children.
15768,But in your daughter’s womb I will bury them.,"But in your daughter’s womb I bury them, Where, in that nest of spicery, they will breed Selves of themselves, to your recomforture."
15769,Should I go convince my daughter to marry you?,Shall I go win my daughter to thy will?
15770,And be a happy mother by doing so.,And be a happy mother by the deed.
15771,I’m going.,I go.
15772,Write to me very soon and I’ll let you know what she thinks.,"Write to me very shortly, And you shall understand from me her mind."
15773,Many former friends of ours have gathered to meet the fleet and aren’t willing to beat it back.,"To our shores Throng many doubtful hollow-hearted friends, Unarmed and unresolved to beat them back."
15774,Word is that Richmond is the navy’s admiral.,"Tis thought that Richmond is their admiral; And there they hull, expecting but the aid Of Buckingham to welcome them ashore."
15775,"Someone who can ride fast, go to the duke of  Here, my good lord.","Some light-foot friend post to the duke of Norfolk— Ratcliffe, thyself, or Catesby."
15776,"Catesby, fly to the duke.","Catesby, fly to the duke."
15777,"I will my lord, as fast as I can.","I will, my lord, with all convenient haste."
15778,"Ratcliffe, come here.","Ratcliffe, come hither."
15779,Ride to Salisbury.,Post to Salisbury.
15780,"Oh, right, good Catesby.","O true, good Catesby."
15781,Tell him to gather together the greatest army he can muster in a hurry and meet me right away at Salisbury.,Bid him levy straight The greatest strength and power that he can make And meet me suddenly at Salisbury.
15782,I’m off.,I go.
15783,What would you like me to do at Salisbury?,"What, may it please you, shall I do at Salisbury?"
15784,"Why, what is there to do before I get there?","Why, what wouldst thou do there before I go?"
15785,Your Highness just told me that I should ride there before you.,Your Highness told me I should post before.
15786,I changed my mind.,My mind is changed.
15787,"Stanley, what news do you have?","Stanley, what news with you?"
15788,"Nothing that you want to hear, my lord, but nothing so bad that I can’t mention it.","None good, my liege, to please you with the hearing, Nor none so bad but well may be reported."
15789,"Well, how nice, a riddle!","Hoyday, a riddle!"
15790,Neither good nor bad.,Neither good nor bad.
15791,Why do you go around in circles when you could get to the point?,What need’st thou run so many mile about When thou mayst tell thy tale the nearest way?
15792,"Once again, what’s the news?","Once more, what news?"
15793,Richmond is sailing on the sea.,Richmond is on the seas.
15794,Let him sink there so the sea will cover him!,"There let him sink, and be the seas on him!"
15795,"Lily-livered coward, what’s he doing there?","White-livered runagate, what doth he there?"
15796,"Well, what do you guess?","Well, as you guess?"
15797,"That, stirred up by Dorset, Buckingham, and Morton, he’s coming to England to claim the crown.","Stirred up by Dorset, Buckingham, and Morton, He makes for England, here to claim the crown."
15798,"They are my daylight, my life.","It is my day, my life."
15799,"Then I hope night shadows your day, and death takes your life!","Black night o'ershade thy day, and death thy life."
15800,Don’t damn yourself.,"Curse not thyself, fair creature; thou art both."
15801,"I wish I were, so I could deprive you of both day and life.","I would I were, to be revenged on thee."
15802,There is no better one on earth.,His better doth not breathe upon the earth.
15803,Is the throne empty?,Is the chair empty?
15804,Is the army without a leader?,Is the sword unswayed?
15805,"Is the king dead, the empire dispossessed?","Is the king dead, the empire unpossessed?"
15806,What heir of the York family is there alive other than myself?,What heir of York is there alive but we?
15807,And who is England’s king but an heir of the great York?,And who is England’s king but great York’s heir?
15808,"Therefore, tell me, what is he doing at sea?","Then tell me, what makes he upon the seas?"
15809,"Where is your army, then, to beat him back?","Where is thy power, then, to beat him back?"
15810,Where are your tenants and your followers?,Where be thy tenants and thy followers?
15811,Aren’t they at this very moment on the western shore helping the rebels land safely from their ships?,"Are they not now upon the western shore, Safe-conducting the rebels from their ships?"
15812,Then they’re cold friends to me.,Cold friends to me.
15813,What are they doing in the north when they should be in the west serving their king?,What do they in the north When they should serve their sovereign in the west?
15814,"They haven’t been commanded to go to the west, mighty king.","They have not been commanded, mighty king."
15815,"If your Majesty would like, I’ll muster up my friends and meet you wherever and whenever you like.","Pleaseth your Majesty to give me leave, I’ll muster up my friends and meet your Grace Where and what time your Majesty shall please."
15816,"Most mighty sovereign, you have no reason to doubt my friendship.","Most mighty sovereign, You have no cause to hold my friendship doubtful."
15817,"I was never disloyal, and I never will be.",I never was nor never will be false.
15818,"Then go gather your men, but leave behind your son, George Stanley.","Go then and muster men, but leave behind Your son George Stanley."
15819,"My noble king, my friends have informed me that Sir Edward Courtney and his brother, the haughty Bishop of Exeter, are now in  My king, the Guildfords in  My lord, the duke of Buckingham’s army— Enough, you","My gracious sovereign, now in Devonshire, As I by friends am well advertisèd, Sir Edward Courtney and the haughty prelate, Bishop of Exeter, his elder brother, With many more confederates are in arms."
15820,The news I have to tell your majesty is that Buckingham’s army has dispersed from sudden floods and heavy rainfall.,"In Kent, my liege, the Guilfords are in arms, And every hour more competitors Flock to the rebels, and their power grows strong."
15821,Buckingham himself has wandered away alone to who knows where.,"My lord, the army of great Buckingham— Out on you, owls!"
15822,I beg your pardon.,Nothing but songs of death.
15823,"Yes, your Highness.",But this good comfort bring I to your Highness: The Breton navy is dispersed by tempest.
15824,"Even if we don’t fight foreign enemies, we’ll beat down these rebels at home.","March on, march on, since we are up in arms, If not to fight with foreign enemies, Yet to beat down these rebels here at home."
15825,"While we’re talking here, a royal battle could be won and lost.","While we reason here, A royal battle might be won and lost."
15826,Someone deliver the order that Buckingham be brought to Salisbury.,Someone take order Buckingham be brought To Salisbury.
15827,"Everyone else, march on with me.",The rest march on with me.
15828,"But, tell me, where is the noble Richmond now?","But, tell me, where is princely Richmond now?"
15829,"At Pembroke, or at Harfordwest in Wales.","At Pembroke, or at Ha'rfordwest in Wales."
15830,"Sir Walter Herbert, a renowned soldier; Sir Gilbert Talbot; Sir William Stanley; Oxford; the highly feared Pembroke; Sir James Blunt; Rice ap Thomas, with a valiant crew; and many other famous and powerful noblemen.","Sir Walter Herbert, a renownèd soldier; Sir Gilbert Talbot, Sir William Stanley, Oxford, redoubted Pembroke, Sir James Blunt, And Rice ap Thomas, with a valiant crew, And many other of great name and worth; And towards London they do bend their power, If by the way they be not fought withal."
